order_id,quantity,return_status,final_price_at_order_time,cost_price_at_order_time,branch_product_id
25263,5,,1330.92,78.83,530
25263,5,,1330.92,53.99,1478
25263,3,,1330.92,61.28,1759
25263,4,,1330.92,78.12,2408
25263,5,,1330.92,75.55,1337
25263,3,,1330.92,82.93,1624
25263,5,,1330.92,81.95,2189
25263,4,,1343.73,63.22,1978
25263,4,,1343.73,82.21,2137
25263,4,,1343.73,50.92,1067
25263,4,,1336.70,88.33,1567
25263,5,,1336.70,77.81,1849
25263,3,,1352.51,63.99,515
25263,3,,1352.51,85.41,743
25263,3,,1352.51,82.35,896
25263,3,,1332.02,50.54,577
25263,5,,1332.02,63.69,1511
25263,3,,1332.02,61.05,418
25263,3,,1332.02,84.87,122
25263,3,,1332.02,62.61,175
25264,5,,1330.92,78.83,530
25264,4,,1330.92,53.99,1478
25264,3,,1330.92,61.28,1759
25264,4,,1330.92,78.12,2408
25264,3,,1330.92,75.55,1337
25264,5,,1330.92,82.93,1624
25264,5,,1330.92,81.95,2189
25264,3,,1343.73,63.22,1978
25264,3,,1343.73,82.21,2137
25264,3,,1343.73,50.92,1067
25264,3,,1336.70,88.33,1567
25264,4,,1336.70,77.81,1849
25264,3,,1352.51,63.99,515
25264,4,,1352.51,85.41,743
25264,5,,1352.51,82.35,896
25264,3,,1332.02,50.54,577
25264,5,,1332.02,63.69,1511
25264,3,,1332.02,61.05,418
25264,5,,1332.02,84.87,122
25264,3,,1332.02,62.61,175
25265,5,,1330.92,78.83,530
25265,5,,1330.92,53.99,1478
25265,5,,1330.92,61.28,1759
25265,4,,1330.92,78.12,2408
25265,5,,1330.92,75.55,1337
25265,5,,1330.92,82.93,1624
25265,4,,1330.92,81.95,2189
25265,5,,1343.73,63.22,1978
25265,3,,1343.73,82.21,2137
25265,5,,1343.73,50.92,1067
25265,4,,1336.70,88.33,1567
25265,5,,1336.70,77.81,1849
25265,4,,1352.51,63.99,515
25265,4,,1352.51,85.41,743
25265,4,,1352.51,82.35,896
25265,4,,1332.02,50.54,577
25265,3,,1332.02,63.69,1511
25265,3,,1332.02,61.05,418
25265,4,,1332.02,84.87,122
25265,4,,1332.02,62.61,175
25266,4,,1330.92,78.83,530
25266,5,,1330.92,53.99,1478
25266,5,,1330.92,61.28,1759
25266,5,,1330.92,78.12,2408
25266,3,,1330.92,75.55,1337
25266,5,,1330.92,82.93,1624
25266,4,,1330.92,81.95,2189
25266,5,,1343.73,63.22,1978
25266,4,,1343.73,82.21,2137
25266,4,,1343.73,50.92,1067
25266,4,,1336.70,88.33,1567
25266,5,,1336.70,77.81,1849
25266,4,,1352.51,63.99,515
25266,3,,1352.51,85.41,743
25266,3,,1352.51,82.35,896
25266,4,,1332.02,50.54,577
25266,3,,1332.02,63.69,1511
25266,4,,1332.02,61.05,418
25266,5,,1332.02,84.87,122
25266,3,,1332.02,62.61,175
25267,4,,1330.92,78.83,530
25267,3,,1330.92,53.99,1478
25267,5,,1330.92,61.28,1759
25267,3,,1330.92,78.12,2408
25267,5,,1330.92,75.55,1337
25267,5,,1330.92,82.93,1624
25267,3,,1330.92,81.95,2189
25267,4,,1343.73,63.22,1978
25267,4,,1343.73,82.21,2137
25267,5,,1343.73,50.92,1067
25267,5,,1336.70,88.33,1567
25267,4,,1336.70,77.81,1849
25267,3,,1352.51,63.99,515
25267,3,,1352.51,85.41,743
25267,4,,1352.51,82.35,896
25267,3,,1332.02,50.54,577
25267,5,,1332.02,63.69,1511
25267,4,,1332.02,61.05,418
25267,4,,1332.02,84.87,122
25267,5,,1332.02,62.61,175
25268,5,,1330.92,78.83,530
25268,4,,1330.92,53.99,1478
25268,5,,1330.92,61.28,1759
25268,3,,1330.92,78.12,2408
25268,5,,1330.92,75.55,1337
25268,3,,1330.92,82.93,1624
25268,3,,1330.92,81.95,2189
25268,3,,1343.73,63.22,1978
25268,5,,1343.73,82.21,2137
25268,5,,1343.73,50.92,1067
25268,3,,1336.70,88.33,1567
25268,5,,1336.70,77.81,1849
25268,4,,1352.51,63.99,515
25268,5,,1352.51,85.41,743
25268,5,,1352.51,82.35,896
25268,4,,1332.02,50.54,577
25268,5,,1332.02,63.69,1511
